# Cities,Seed,Running time (sec.),Cost of best tour found,Max # of stored states at a given time,count,# of BSSF updates,Total # of states created,Total # of states pruned
10,20,2.8118863105773926,7499,149,575,602,23229,12411
11,20,36.37948203086853,9148,239,16204,16222,285033,117718
12,20,60.000428676605225,10107,567,60887,60926,498438,110323
13,20,60.000075817108154,10315,200,75948,75963,467981,63298
14,20,60.00041627883911,7899,3858,1757,1762,378358,249606
15,20,60.000016927719116,9370,573,29381,29383,431596,136757
16,20,60.000109910964966,11334,243,53209,53238,426538,64363
17,20,60.0005738735199,11961,517,40796,40811,400300,126248
18,20,60.00012016296387,9734,168,42042,42114,394502,86278
19,20,60.00012826919556,9168,439,19532,19534,372905,119359
20,20,60.00007700920105,14806,203,26621,26642,359056,101518
